PSR Name,Diviner Max Surface Temp,LOLA Albedo,LAMP Albedo,M3 NIR Ice Detection,Mini-RF CPR,LEND Neutron,LPNS Hydrogen,Total Score,Pole
FA-1, 2, 1, 1, 1, 1, 2, 1, 11, South
CA-1, 2, 1, 1, 1, 0, 2, 2, 11, South
SL-1, 2, 1, 2, 1, 0, 1, 1, 10, South
HA-1, 2, 1, 1, 1, 1, 1, 1, 10, South
DG-1, 2, 1, 1, 1, 0, 1, 2, 10, South
SHO-1, 2, 1, 1, 1, 1, 1, 1, 10, South
SV-3, 2, 1, 1, 2, 0, 1, 1, 10, South
SC-2, 2, 1, 2, 1, 0, 1, 1, 10, South
SHO-3, 2, 2, 1, 0, 1, 1, 1, 10, South
NO-2, 2, 1, 2, 1, 0, 1, 1, 10, South
CA-2, 2, 1, 1, 1, 0, 1, 2, 10, South
SH-4, 2, 1, 1, 1, 0, 1, 1, 9, South
AM-1, 2, 1, 2, 0, 0, 1, 1, 9, South
SV-1, 2, 1, 1, 1, 0, 1, 1, 9, South
SL-4, 2, 1, 1, 1, 0, 1, 1, 9, South
AM-2, 2, 1, 2, 0, 0, 1, 1, 9, South
SH-3, 2, 1, 1, 1, 0, 1, 1, 9, South
SL-2, 2, 1, 0, 2, 0, 1, 1, 9, South
SH-1, 2, 1, 0, 1, †, 1, 2, 9, South
HA-3, 2, 1, 1, 1, 0, 1, 1, 9, South
NEB-1, 2, 1, 2, 0, 0, 1, 1, 9, South
HA-2, 2, 1, 0, 2, 0, 1, 1, 9, South
SV-2, 2, 1, 0, 1, 0, 1, 1, 8, South
SL-3, 2, 1, 1, 0, 0, 1, 1, 8, South
NO-5, 2, 1, 0, 1, †, 1, 1, 8, South
CAB-1, 2, 1, 1, 1, 0, 0, 1, 8, South
SH2, 2, 1, 0, 1, 0, 1, 1, 8, South
SHO2, 2, 0, 1, 1, 0, 1, 1, 8, South
CA-3, 2, 0, 0, 1, †, 1, 2, 8, South
NO-1, 1, 1, 1, 1, 0, 1, 1, 8, South
FA-2, 2, 1, 1, 0, 0, 0, 1, 7, South
HA-4, 2, 0, 0, 1, 0, 1, 1, 7, South
WI-1, 2, 1, 1, 0, 0, 0, 0, 6, South
NO-4, 1, 0, 0, 1, †, 1, 1, 6, South
NO-3, 1, 0, 0, 1, 0, 1, 1, 6, South
IDL-1, 1, 1, 0, 0, 0, 1, 0, 5, South
WIJ-1, 1, 0, 1, 1, 0, 0, 0, 5, South
AM-3, 2, 0, 1, 0, 0, 0, 0, 5, South
MAF-1, 1, 0, 0, 1, 1, 0, 0, 5, South
ROU1, 2, 1, –, 1, 0, 2, 1, 9, North
HEA-1, 2, 1, –, 1, †, 1, 1, 8, North
ROU-2, 2, 1, –, 1, 0, 1, 1, 8, North
BO-2, 2, 1, –, 1, 0, 1, 1, 8, North
LE-1, 2, 1, –, 1, 0, 1, 0, 7 , North
FI-1, 2, 1, –, 1, 0, 1, 0, 7, North
HI-1, 2, 1, –, 0, 0, 1, 1, 7, North
BO-1, 2, 1, –, 1, 0, 0, 1, 7, North
WH-1, 2, 1, –, 0, †, 1, 1, 7, North
HEA-2, 2, 1, –, 0, †, 1, 1, 7, North
PLV-1, 1, 1, –, 1, 0, 1, 1, 7, North
PL-1, 2, 1, –, 1, †, 1, 0, 7, North
ROU-3, 2, 1, –, 0, 0, 1, 0, 6, North
NAF-2, 2, 1, –, 1, 0, 0, 0, 6, North
ROK1, 1, 1, –, 1, 0, 1, 0, 6, North
SY-1, 1, 1, –, 1, 1, 0, 0, 6, North
PE-2, 2, 0, –, 0, †, 0, 1, 5, North
NAF-1, 2, 0, –, 1, 0, 0, 0, 5, North
ROW1, 2, 0, –, 1, 0, 0, 0, 5, North
NAA-2, 1, 1, –, 1, 0, 0, 0, 5, North
SYN-1, 1, 1, –, 0, †, 0, 0, 4, North
RON1, 1, 0, –, 1, †, 0, 0, 4, North
RO-2, 1, 1, –, 0, †, 0, 0, 4, North
LO-1, 1, 0, –, 1, 0, 0, 0, 4, North
HO-1, 1, 0, –, 0, †, 0, 0, 3, North
LOE-1, 1, 0, –, 0, †, 0, 0, 3, North
