procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 866136576      8 72669928    0    0     0     6    0    0 40  4 57  0  0
 1  0      0 866086336      8 72687696    0    0     0    54 30156 97314  3  0 97  0  0
 2  0      0 866051328      8 72693760    0    0     0    55 27980 92809  3  0 97  0  0
 2  0      0 866028224      8 72694456    0    0     0    73 28636 95460  3  0 97  0  0
 2  0      0 865993344      8 72708928    0    0     0    55 29140 97449  3  0 97  0  0
 1  0      0 865967360      8 72715024    0    0     0    53 27893 101869  2  0 97  0  0
 1  0      0 865948352      8 72720320    0    0     0    52 29679 97365  3  0 97  0  0
 1  0      0 865919296      8 72725008    0    0     0    52 28618 93627  3  0 97  0  0
 2  0      0 865906432      8 72725264    0    0     0    52 29304 138438  3  0 97  0  0
 1  0      0 865879232      8 72730896    0    0     0   108 27848 98771  3  0 97  0  0
65  0      0 849649600      8 72734272    0    0     0     0 64764 274910 27  2 71  0  0
41  0      0 830857856      8 72734272    0    0     0    54 79764 133074 33 14 53  0  0
 3  0      0 846588288      8 72734272    0    0     0     0 26405 202431  4  2 94  0  0
 3  0      0 847342272      8 72734272    0    0     0    52 23605 153839  3  1 96  0  0
 4  0      0 841592576      8 72734296    0    0     0    52 22100 91043  3  0 96  0  0
 2  0      0 838674240      8 72734296    0    0     0    70 22193 94180  3  0 96  0  0
 2  0      0 835324864      8 72734304    0    0     0    52 22100 90713  3  0 96  0  0
 2  0      0 832506560      8 72734304    0    0     0    53 22592 150091  3  1 96  0  0
 3  0      0 829003264      8 72734304    0    0     0    55 22243 93467  3  0 96  0  0
 5  0      0 820576576      8 72734240    0    0     0    52 29735 120968  3  1 96  0  0
 9  0      0 813443136      8 72734240    0    0     0    67 30134 213013  6  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0      0 808662528      8 72734208    0    0     0    66 36272 161502 11  1 88  0  0
16  0      0 808656768      8 72734208    0    0     0    54 36426 90465 12  0 88  0  0
13  0      0 808655872      8 72734208    0    0     0    52 36946 122024 12  0 88  0  0
13  0      0 808642240      8 72734352    0    0     7    55 37728 99263 12  0 88  0  0
13  0      0 808642368      8 72734352    0    0     0   152 36711 91525 12  0 88  0  0
13  0      0 808643904      8 72734352    0    0     0    57 36464 99762 12  0 88  0  0
14  0      0 808643072      8 72734360    0    0     0    90 37435 95925 12  0 88  0  0
16  0      0 808595520      8 72735288    0    0     5    55 39969 93436 12  1 88  0  0
18  0      0 808563584      8 72758088    0    0   106  1534 61552 126861 13  1 85  0  0
16  0      0 808531392      8 72777472    0    0     0  4454 66504 115713 13  1 86  0  0
21  0      0 808517632      8 72782400    0    0     0     0 70237 134211 12  2 86  0  0
15  0      0 808489472      8 72790152    0    0     0     0 75575 130462 13  2 85  0  0
15  0      0 808494080      8 72792224    0    0     0  1148 66644 130987 12  2 86  0  0
14  0      0 808508544      8 72792416    0    0     0   512 57712 152267 12  1 86  0  0
13  0      0 808550848      8 72792312    0    0     0     0 41607 104329 12  1 87  0  0
